_id,id,cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,cycle_norm,RUL
605b1d2360f42e6ba7b34488,1,1,0.632183908,0.75,0,0,0.5451807229,0.3106605625,0.2694125591,0,1,0.652173913,0.2121212121,0.1276137485,0,0.2083333333,0.6460554371,0.2205882353,0.1321601816,0.3089649865,0,0.3333333333,0,0,0.5581395349,0.6618337476,0,142
605b1d2360f42e6ba7b34489,1,2,0.3448275862,0.25,0,0,0.1506024096,0.3795509047,0.2223160027,0,1,0.8051529791,0.1666666667,0.1466840169,0,0.3869047619,0.7398720682,0.2647058824,0.2047682939,0.2131589073,0,0.4166666667,0,0,0.6821705426,0.6868268434,0.0027700831,141
605b1d2360f42e6ba7b3448a,1,3,0.5172413793,0.5833333333,0,0,0.3765060241,0.3466317855,0.3222484808,0,1,0.6859903382,0.2272727273,0.1580813066,0,0.3869047619,0.6993603412,0.2205882353,0.155640417,0.4586379377,0,0.4166666667,0,0,0.7286821705,0.721347694,0.0055401662,140
605b1d2360f42e6ba7b3448b,1,4,0.7413793103,0.5,0,0,0.3704819277,0.2851536952,0.4080013504,0,1,0.6795491143,0.196969697,0.1057165934,0,0.255952381,0.5735607676,0.25,0.1700897925,0.2570219315,0,0.25,0,0,0.6666666667,0.6621099144,0.0083102493,139
605b1d2360f42e6ba7b3448c,1,5,0.5804597701,0.5,0,0,0.3915662651,0.3520819708,0.3320391627,0,1,0.694041868,0.1666666667,0.1023961231,0,0.2738095238,0.7377398721,0.2205882353,0.1527505419,0.3008849558,0,0.1666666667,0,0,0.6589147287,0.7163766915,0.0110803324,138
605b1d2360f42e6ba7b3448d,1,6,0.5689655172,0.75,0,0,0.2710843373,0.1761499891,0.2174206617,0,1,0.7037037037,0.1515151515,0.1311585749,0,0.244047619,0.6886993603,0.2941176471,0.14201672,0.3805309735,0,0.3333333333,0,0,0.5968992248,0.6248273957,0.0138504155,137
605b1d2360f42e6ba7b3448e,1,7,0.5,0.6666666667,0,0,0.2710843373,0.2681491171,0.3813301823,0,1,0.6505636071,0.2272727273,0.1330880373,0,0.2738095238,0.7078891258,0.2647058824,0.1807720095,0.2558676414,0,0.25,0,0,0.5503875969,0.6917978459,0.0166204986,136
605b1d2360f42e6ba7b3448f,1,8,0.5344827586,0.5,0,0,0.4006024096,0.2147373011,0.314652262,0,1,0.6022544283,0.2272727273,0.1396841066,0,0.2142857143,0.7249466951,0.2647058824,0.1341211683,0.3709118892,0,0.4166666667,0,0,0.7054263566,0.591273129,0.0193905817,135
605b1d2360f42e6ba7b34490,1,9,0.2931034483,0.5,0,0,0.2018072289,0.4850664923,0.5069209993,0,1,0.7471819646,0.2424242424,0.120344611,0,0.3095238095,0.7121535181,0.25,0.1765404066,0.4247787611,0,0.25,0,0,0.7441860465,0.7703673019,0.0221606648,134
605b1d2360f42e6ba7b34491,1,10,0.3563218391,0.4166666667,0,0,0.2590361446,0.3097885328,0.2766711681,0,1,0.7133655395,0.2121212121,0.1356008256,0,0.1726190476,0.7057569296,0.2647058824,0.1761791723,0.3247402847,0,0.25,0,0,0.5658914729,0.6735708368,0.0249307479,133
605b1d2360f42e6ba7b34492,1,11,0.5402298851,0.1666666667,0,0,0.25,0.2177894048,0.3642808913,0,1,0.7793880837,0.2121212121,0.1343444315,0,0.2261904762,0.6950959488,0.2647058824,0.1674063371,0.2577914583,0,0.25,0,0,0.7131782946,0.6444352389,0.027700831,132
605b1d2360f42e6ba7b34493,1,12,0.6494252874,0.75,0,0,0.4006024096,0.3573141487,0.2628291695,0,1,0.7246376812,0.1818181818,0.1269406802,0,0.25,0.7078891258,0.2647058824,0.1671483125,0.2828010773,0,0.25,0,0,0.7519379845,0.6770229218,0.0304709141,131
605b1d2360f42e6ba7b34494,1,13,0.1781609195,0.75,0,0,0.2198795181,0.3935033791,0.3661377448,0,1,0.6747181965,0.1818181818,0.1074216997,0,0.2976190476,0.7846481876,0.2205882353,0.1609041181,0.3528280108,0,0.3333333333,0,0,0.7286821705,0.6538249102,0.0332409972,130
605b1d2360f42e6ba7b34495,1,14,0.5977011494,0.1666666667,0,0,0.3072289157,0.2642249836,0.3482444294,0,1,0.7745571659,0.196969697,0.1057614646,0,0.2321428571,0.6950959488,0.2647058824,0.1566725152,0.4016929588,0,0.3333333333,0,0,0.6899224806,0.7774095554,0.0360110803,129
605b1d2360f42e6ba7b34496,1,15,0.4827586207,0.25,0,0,0.3885542169,0.3001962067,0.2792032411,0,1,0.692431562,0.1515151515,0.1384725837,0,0.2976190476,0.5735607676,0.1764705882,0.1738053463,0.3516737207,0,0.3333333333,0,0,0.6976744186,0.6531344932,0.0387811634,128
605b1d2360f42e6ba7b34497,1,16,0.3965517241,0.75,0,0,0.3343373494,0.2936559843,0.4306212019,0,1,0.6392914654,0.303030303,0.0906847348,0,0.3214285714,0.7398720682,0.3235294118,0.1748890494,0.4043863024,0,0.1666666667,0,0,0.5658914729,0.6271748136,0.0415512465,127
605b1d2360f42e6ba7b34498,1,17,0.5804597701,0.6666666667,0,0,0.2951807229,0.2541966427,0.3691762323,0,1,0.7359098229,0.2424242424,0.1082293817,0,0.25,0.7249466951,0.2058823529,0.1385075859,0.5109657561,0,0.25,0,0,0.7364341085,0.6168185584,0.0443213296,126
605b1d2360f42e6ba7b34499,1,18,0.7011494253,0.5833333333,0,0,0.4156626506,0.3376934816,0.3619176232,0,1,0.5877616747,0.2121212121,0.1184151485,0,0.3511904762,0.7356076759,0.2647058824,0.1717411498,0.4132358599,0,0.25,0,0,0.6356589147,0.7648439658,0.0470914127,125
605b1d2360f42e6ba7b3449a,1,19,0.6666666667,0.5833333333,0,0,0.3674698795,0.3169827774,0.3384537475,0,1,0.6473429952,0.1666666667,0.1129408597,0,0.2380952381,0.7185501066,0.1911764706,0.1515636289,0.2474028472,0,0.25,0,0,0.7131782946,0.6720519194,0.0498614958,124
605b1d2360f42e6ba7b3449b,1,20,0.5632183908,0.4166666667,0,0,0.421686747,0.3649444081,0.3114449696,0,1,0.7181964573,0.2272727273,0.0870052948,0,0.3630952381,0.7654584222,0.25,0.1478480751,0.3270488649,0,0.3333333333,0,0,0.6666666667,0.6052195526,0.0526315789,123
605b1d2360f42e6ba7b3449c,1,21,0.7183908046,0.3333333333,0,0,0.4487951807,0.2672770874,0.2861242404,0,1,0.7359098229,0.2272727273,0.1435879027,0,0.3035714286,0.7164179104,0.3382352941,0.1389204252,0.3559061177,0,0.3333333333,0,0,0.6356589147,0.7018779343,0.055401662,122
605b1d2360f42e6ba7b3449d,1,22,0.5689655172,0.5833333333,0,0,0.3734939759,0.255940702,0.3681634031,0,1,0.576489533,0.1515151515,0.1109216549,0,0.244047619,0.5799573561,0.2352941176,0.1493962225,0.5032704886,0,0.3333333333,0,0,0.6201550388,0.6666666667,0.0581717452,121
605b1d2360f42e6ba7b3449e,1,23,0.5517241379,0.5,0,0,0.2740963855,0.359058208,0.2167454423,0,1,0.8405797101,0.2121212121,0.136094409,0,0.2023809524,0.7057569296,0.2647058824,0.1601300444,0.3335898422,0,0.4166666667,0,0,0.7441860465,0.5860259597,0.0609418283,120
605b1d2360f42e6ba7b3449f,1,24,0.4655172414,0.4166666667,0,0,0.3343373494,0.5068672335,0.3021607022,0,1,0.5507246377,0.2575757576,0.0968769631,0,0.2619047619,0.7185501066,0.3529411765,0.1587367117,0.3174297807,0,0.4166666667,0,0,0.6201550388,0.6944214305,0.0637119114,119
605b1d2360f42e6ba7b344a0,1,25,0.6609195402,0.25,0,0,0.313253012,0.2483104426,0.3035111411,0,1,0.6296296296,0.3181818182,0.0990307817,0,0.3095238095,0.7611940299,0.2941176471,0.1481577046,0.2916506349,0,0.4166666667,0,0,0.6356589147,0.6687379177,0.0664819945,118
605b1d2360f42e6ba7b344a1,1,26,0.7701149425,0.0833333333,0,0,0.3825301205,0.2668410726,0.4358541526,0,1,0.7632850242,0.2727272727,0.1422417661,0,0.2857142857,0.6950959488,0.2794117647,0.1505831355,0.2693343594,0,0.25,0,0,0.488372093,0.637254902,0.0692520776,117
605b1d2360f42e6ba7b344a2,1,27,0.4597701149,0.5833333333,0,0,0.2620481928,0.3403095705,0.30486158,0,1,0.7246376812,0.2878787879,0.1093511622,0,0.2916666667,0.6673773987,0.2058823529,0.1408814119,0.4790303963,0,0.3333333333,0,0,0.5658914729,0.6888980944,0.0720221607,116
605b1d2360f42e6ba7b344a3,1,28,0.6264367816,0.9166666667,0,0,0.2168674699,0.5059952038,0.3214044564,0,1,0.5974235105,0.2575757576,0.1517993359,0,0.119047619,0.671641791,0.2794117647,0.1803591702,0.4697960754,0,0.3333333333,0,0,0.5348837209,0.6296603148,0.0747922438,115
605b1d2360f42e6ba7b344a4,1,29,0.5804597701,0.5833333333,0,0,0.2228915663,0.3512099411,0.2677245105,0,1,0.692431562,0.2727272727,0.1093960334,0,0.3392857143,0.78891258,0.2794117647,0.1712767055,0.3705271258,0,0.3333333333,0,0,0.6821705426,0.6460922397,0.0775623269,114
605b1d2360f42e6ba7b344a5,1,30,0.3563218391,0.8333333333,0,0,0.4759036145,0.3200348812,0.3160027009,0,1,0.6843800322,0.2878787879,0.1154087768,0,0.3273809524,0.6588486141,0.3235294118,0.1798431211,0.331281262,0,0.25,0,0,0.7364341085,0.707953604,0.08033241,113
605b1d2360f42e6ba7b344a6,1,31,0.4655172414,0.8333333333,0,0,0.4126506024,0.2219315457,0.2812288994,0,1,0.7359098229,0.2727272727,0.1555685184,0,0.2261904762,0.6609808102,0.2647058824,0.1556920219,0.2981916122,0,0.4166666667,0,0,0.519379845,0.6365644849,0.0831024931,112
605b1d2360f42e6ba7b344a7,2,1,0.4482758621,0.8333333333,0,0,0.436746988,0.3980815348,0.4204929102,0,1,0.5297906602,0.303030303,0.0828771426,0,0.3452380952,0.6247334755,0.3823529412,0.1530085664,0.3978453251,0,0.3333333333,0,0,0.6666666667,0.6877934272,0,146
605b1d2360f42e6ba7b344a8,2,2,0.4367816092,0.6666666667,0,0,0.3915662651,0.3791148899,0.3919648886,0,1,0.5925925926,0.2575757576,0.1437673876,0,0.3571428571,0.710021322,0.2941176471,0.1037774796,0.4482493267,0,0.4166666667,0,0,0.5426356589,0.5468102734,0.0027700831,145
605b1d2360f42e6ba7b344a9,2,3,0.5114942529,0.75,0,0,0.4126506024,0.5354262045,0.482950709,0,1,0.5619967794,0.3484848485,0.0665888899,0,0.3571428571,0.5543710021,0.2941176471,0.1383527712,0.2135436706,0,0.5,0,0,0.6821705426,0.707263187,0.0055401662,144
605b1d2360f42e6ba7b344aa,2,4,0.6436781609,0.5833333333,0,0,0.3313253012,0.2701111838,0.4385550304,0,1,0.692431562,0.3636363636,0.1136587992,0,0.3392857143,0.6140724947,0.2647058824,0.1546599236,0.420546364,0,0.4166666667,0,0,0.5271317829,0.7949461475,0.0083102493,143
605b1d2360f42e6ba7b344ab,2,5,0.5229885057,0.1666666667,0,0,0.4698795181,0.3049923697,0.4279203241,0,1,0.6650563607,0.3484848485,0.0997487212,0,0.369047619,0.618336887,0.3382352941,0.1396944989,0.3839938438,0,0.3333333333,0,0,0.519379845,0.683927092,0.0110803324,142
605b1d2360f42e6ba7b344ac,2,6,0.4540229885,0.25,0,0,0.3885542169,0.192500545,0.3379473329,0,1,0.6344605475,0.3181818182,0.0932423943,0,0.4464285714,0.6631130064,0.2647058824,0.1490349881,0.3589842247,0,0.3333333333,0,0,0.496124031,0.5172604253,0.0138504155,141
605b1d2360f42e6ba7b344ad,2,7,0.6091954023,0.5,0,0,0.4277108434,0.5066492261,0.3904456448,0,1,0.5974235105,0.3636363636,0.1278381046,0,0.3988095238,0.4861407249,0.2794117647,0.1400041284,0.3324355521,0,0.4166666667,0,0,0.4728682171,0.8671637669,0.0166204986,140
605b1d2360f42e6ba7b344ae,2,8,0.5862068966,0.75,0,0,0.421686747,0.2657510355,0.3769412559,0,1,0.5330112721,0.2575757576,0.1298124383,0,0.3333333333,0.6460554371,0.3970588235,0.1791722572,0.4544055406,0,0.25,0,0,0.503875969,0.455399061,0.0193905817,139
605b1d2360f42e6ba7b344af,2,9,0.3735632184,0.75,0,0,0.3222891566,0.3858731197,0.4269074949,0,1,0.5475040258,0.2878787879,0.1329534237,0,0.369047619,0.5948827292,0.2941176471,0.1629167097,0.4655636783,0,0.3333333333,0,0,0.4418604651,0.5230599282,0.0221606648,138
605b1d2360f42e6ba7b344b0,2,10,0.6206896552,0.8333333333,0,0,0.3975903614,0.4323086985,0.4015867657,0,1,0.5797101449,0.3333333333,0.1446199408,0,0.369047619,0.5117270789,0.3235294118,0.1226648777,0.3701423624,0,0.3333333333,0,0,0.6046511628,0.6154377244,0.0249307479,137
